,pressure,enthalpy,flow,outlet_pressure,outlet_enthalpy
160,666957.0,2078.125,7950.617283950617,71280283.70818175,3475.6405279503106
161,670804.7000000001,4078.125,9950.617283950618,56317937.788193986,5194.750310173697
162,674652.4,3078.125,4049.382716049383,140352304.22974506,5822.027439024389
163,678500.1,5078.125,6049.382716049383,92175347.06110214,6914.859693877551
164,682347.8,2578.125,8049.382716049382,70254605.05800568,3958.493098159509
165,686195.5,4578.125,4716.04938271605,119035902.65142775,6934.145942408377
166,690043.2000000001,3578.125,6716.04938271605,83825902.34723361,5232.536764705882
167,693890.9,5578.125,8716.04938271605,63622681.43465771,6852.912535410765
168,697738.6000000001,2328.125,5382.716049382716,105555572.00078759,4392.345183486239
169,701586.3,4328.125,7382.716049382716,75855045.01860115,5833.141722408027
170,705434.0,3328.125,9382.716049382716,60036215.05059374,4512.335526315789
171,709281.7000000001,5328.125,4271.604938271605,130914307.0149702,7929.281069364162
172,713129.3999999999,2828.125,6271.604938271605,90228880.96451873,4599.778543307087
173,716977.1,4828.125,8271.604938271605,67454854.71086162,6171.4085820895525
174,720824.7999999999,3828.125,4938.271604938272,114225181.75391932,6078.125
175,724672.5,5828.125,6938.271604938272,79857776.10796307,7429.5484875444845
176,728520.2,2203.125,8938.27160493827,63409367.33792791,3446.218922651934
177,732367.8999999999,4203.125,5604.938271604939,100245770.21771212,6185.503854625551
178,736215.6,3203.125,7604.938271604938,74186532.08948351,4664.163961038961
179,740063.2999999999,5203.125,9604.938271604937,57951509.64612315,6359.937339331619
180,743911.0,2703.125,4493.827160493827,126575116.98015656,5175.652472527472
181,747758.7,4703.125,6493.827160493827,86126059.33620527,6414.151615969581
182,751606.4,3703.125,8493.827160493827,66223009.0076953,5011.264534883721
183,755454.1,5703.125,5160.493827160493,107792081.82276756,7856.235047846891
184,759301.7999999999,2453.125,7160.493827160493,79150772.04018086,4004.8491379310344
185,763149.5,4453.125,9160.493827160493,61114604.26277551,5666.063005390836
186,766997.2,3453.125,5827.16049382716,96887311.1981453,5359.904661016949
187,770844.9,5453.125,7827.16049382716,71014017.96867542,6872.683359621451
188,774692.6,2953.125,9827.16049382716,57513375.07565479,4083.7782663316584
189,778540.3,4953.125,4123.456790123457,136166093.52593684,7647.735778443113
190,782388.0,3953.125,6123.456790123457,91884933.97191726,5767.6411290322585
191,786235.7000000001,5953.125,8123.456790123456,68160264.02289179,7320.906155015198
192,790083.4,2046.875,4790.123456790123,119069641.69503751,4366.46262886598
193,793931.1,4046.875,6790.123456790123,82766240.29204832,5683.238636363637
194,797778.8,3046.875,8790.123456790123,64281683.250736475,4310.919943820225
195,801626.5,5046.875,5456.79012345679,102447899.57006517,7083.0740950226245
196,805474.2000000001,2546.875,7456.790123456791,76003602.32721445,4036.9412251655626
197,809321.9,4546.875,9456.79012345679,59211628.31368459,5721.809725848564
198,813169.6000000001,3546.875,4345.679012345679,130388227.99699275,6103.693181818182
199,817017.3,5546.875,6345.679012345679,87661166.66936862,7297.847762645914
200,820865.0,2296.875,8345.67901234568,67986111.62363799,3628.2359467455617
201,824712.7000000001,4296.875,5012.3456790123455,112270941.58893855,6513.623768472906
202,828560.4,3296.875,7012.3456790123455,80539888.66170856,4881.382042253522
203,832408.1000000001,5296.875,9012.345679012345,61808352.37307893,6529.751712328767
204,836255.7999999999,2796.875,5679.0123456790125,99887897.05511457,4753.396739130434
205,840103.5,4796.875,7679.0123456790125,72819103.48717533,6243.820337620579
206,843951.2,3796.875,9679.012345679012,58179056.547130115,4944.83418367347
207,847798.8999999999,5796.875,4567.901234567901,121980012.49906519,8229.307432432432
208,851646.6,2171.875,6567.901234567901,86551278.68864188,3863.604323308271
209,855494.2999999999,4171.875,8567.9012345679,65560286.54957763,5468.704971181556
210,859342.0,3171.875,5234.567901234568,108259667.01159473,5294.516509433962
211,863189.7,5171.875,7234.567901234567,77113014.93307653,6707.7111774744035
212,867037.4,2671.875,9234.567901234566,61381440.991709605,3875.0835561497333
213,870885.1,4671.875,5901.234567901234,94997403.46764374,6554.720188284518
214,874732.7999999999,3671.875,7901.234567901234,71340487.3120336,5078.125
215,878580.5,5671.875,9901.234567901232,56158667.796743855,6794.069513715712
216,882428.2,2421.875,4197.530864197531,136021961.4771978,5068.933823529412
217,886275.9,4421.875,6197.530864197531,90600060.35975143,6214.7036852589645
218,890123.6,3421.875,8197.530864197532,68880034.6802101,4777.296686746988
219,893971.3,5421.875,4864.197530864198,114847812.12982123,7706.1389593908625
220,897819.0,2921.875,6864.197530864198,82532429.21203409,4540.580035971223
221,901666.7,4921.875,8864.197530864196,63088260.25863193,6175.356894150418
222,905514.4,3921.875,5530.864197530864,101975529.09495685,5930.803571428572
223,909362.1,5921.875,7530.864197530864,73681581.21764249,7397.2848360655735
224,913209.8,2109.375,9530.864197530864,59680467.75551442,3275.17810880829
225,917057.5,4109.375,4419.753086419753,127808190.98527141,6623.341480446928
226,920905.2000000001,3109.375,6419.753086419752,88209351.90757151,4840.1442307692305
227,924752.9,5109.375,8419.753086419754,66343114.879537776,6429.023093841643
228,928600.6,2609.375,5086.419753086419,111872103.1130128,4793.841019417476
229,932448.3,4609.375,7086.41975308642,79128406.86374989,6177.31925087108
230,936296.0,3609.375,9086.419753086418,62128967.47589437,4832.201086956522
231,940143.7000000001,5609.375,5753.086419753086,96843982.2171243,7540.7054721030045
232,943991.4,2359.375,7753.086419753086,73298958.34659982,3792.49601910828
233,947839.1000000001,4359.375,9753.086419753086,57634861.29391485,5498.615506329114
234,951686.8,3359.375,4641.975308641975,122229558.71418269,5752.992021276596
235,955534.5,5359.375,6641.975308641975,83996047.44011922,7032.2374535315985
236,959382.2,2859.375,8641.975308641975,65616026.49417258,4145.089285714286
237,963229.8999999999,4859.375,5308.641975308642,105655491.50296353,6952.398255813954
238,967077.6,3859.375,7308.641975308641,77141363.32056542,5379.64527027027
239,970925.2999999999,5859.375,9308.641975308641,59722551.91490611,7053.008952254642
240,974773.0,2234.375,5975.308641975309,95304757.07304393,4093.8791322314046
241,978620.7,4234.375,7975.308641975309,70529572.41595066,5627.563854489164
242,982468.4,3234.375,9975.308641975309,56788250.250022165,4348.236386138615
243,986316.1,5234.375,4008.230452674897,140072232.81370115,8006.448921971251
244,990163.7999999999,2734.375,6008.230452674898,94558415.69342567,4583.690068493151
245,994011.5,4734.375,8008.230452674897,70012666.67997909,6121.836459403906
246,997859.2,3734.375,4674.897119341564,121122309.02304953,6111.135563380281
247,1001706.9,5734.375,6674.897119341564,83380540.23445116,7398.986590628853
248,1005554.6,2484.375,8674.897119341564,65537956.51429348,3765.209914611006
249,1009402.3,4484.375,5341.563786008231,105331161.22784941,6564.4982665639445
